index,utterance,reaction
parrot,頭全体痛い,頭の痛みですね？
parrot,頭全体痛み,頭の痛みですね？
parrot,頭全体痛む,頭の痛みですね？
parrot,頭全体ズキズキする,頭の痛みですね？
parrot,頭全体ジンジンする,頭の痛みですね？
parrot,頭全体痺れる,頭の痛みですね？
parrot,頭全体痺れ,頭の痛みですね？
parrot,頭全体動かない,頭の痛みですね？
parrot,頭全体腫れて,頭の痛みですね？
parrot,頭全体締め付けられる,頭の痛みですね？
parrot,頭全体痛み,頭の痛みですね？
parrot,頭全体痺れ,頭の痛みですね？
parrot,頭全体腫れ,頭の痛みですね？
parrot,頭全体締め付け,頭の痛みですね？
parrot,頭全体違和感,頭の痛みですね？
parrot,頭右痛い,頭の痛みですね？
parrot,頭右痛み,頭の痛みですね？
parrot,頭右痛む,頭の痛みですね？
parrot,頭右ズキズキする,頭の痛みですね？
parrot,頭右ジンジンする,頭の痛みですね？
parrot,頭右痺れる,頭の痛みですね？
parrot,頭右痺れ,頭の痛みですね？
parrot,頭右動かない,頭の痛みですね？
parrot,頭右腫れて,頭の痛みですね？
parrot,頭右締め付けられる,頭の痛みですね？
parrot,頭右痛み,頭の痛みですね？
parrot,頭右痺れ,頭の痛みですね？
parrot,頭右腫れ,頭の痛みですね？
parrot,頭右締め付け,頭の痛みですね？
parrot,頭右違和感,頭の痛みですね？
parrot,頭左痛い,頭の痛みですね？
parrot,頭左痛み,頭の痛みですね？
parrot,頭左痛む,頭の痛みですね？
parrot,頭左ズキズキする,頭の痛みですね？
parrot,頭左ジンジンする,頭の痛みですね？
parrot,頭左痺れる,頭の痛みですね？
parrot,頭左痺れ,頭の痛みですね？
parrot,頭左動かない,頭の痛みですね？
parrot,頭左腫れて,頭の痛みですね？
parrot,頭左締め付けられる,頭の痛みですね？
parrot,頭左痛み,頭の痛みですね？
parrot,頭左痺れ,頭の痛みですね？
parrot,頭左腫れ,頭の痛みですね？
parrot,頭左締め付け,頭の痛みですね？
parrot,頭左違和感,頭の痛みですね？
parrot,頭上痛い,頭の痛みですね？
parrot,頭上痛み,頭の痛みですね？
parrot,頭上痛む,頭の痛みですね？
parrot,頭上ズキズキする,頭の痛みですね？
parrot,頭上ジンジンする,頭の痛みですね？
parrot,頭上痺れる,頭の痛みですね？
parrot,頭上痺れ,頭の痛みですね？
parrot,頭上動かない,頭の痛みですね？
parrot,頭上腫れて,頭の痛みですね？
parrot,頭上締め付けられる,頭の痛みですね？
parrot,頭上痛み,頭の痛みですね？
parrot,頭上痺れ,頭の痛みですね？
parrot,頭上腫れ,頭の痛みですね？
parrot,頭上締め付け,頭の痛みですね？
parrot,頭上違和感,頭の痛みですね？
parrot,頭下痛い,頭の痛みですね？
parrot,頭下痛み,頭の痛みですね？
parrot,頭下痛む,頭の痛みですね？
parrot,頭下ズキズキする,頭の痛みですね？
parrot,頭下ジンジンする,頭の痛みですね？
parrot,頭下痺れる,頭の痛みですね？
parrot,頭下痺れ,頭の痛みですね？
parrot,頭下動かない,頭の痛みですね？
parrot,頭下腫れて,頭の痛みですね？
parrot,頭下締め付けられる,頭の痛みですね？
parrot,頭下痛み,頭の痛みですね？
parrot,頭下痺れ,頭の痛みですね？
parrot,頭下腫れ,頭の痛みですね？
parrot,頭下締め付け,頭の痛みですね？
parrot,頭下違和感,頭の痛みですね？
parrot,あたま全体痛い,頭の痛みですね？
parrot,あたま全体痛み,頭の痛みですね？
parrot,あたま全体痛む,頭の痛みですね？
parrot,あたま全体ズキズキする,頭の痛みですね？
parrot,あたま全体ジンジンする,頭の痛みですね？
parrot,あたま全体痺れる,頭の痛みですね？
parrot,あたま全体痺れ,頭の痛みですね？
parrot,あたま全体動かない,頭の痛みですね？
parrot,あたま全体腫れて,頭の痛みですね？
parrot,あたま全体締め付けられる,頭の痛みですね？
parrot,あたま全体痛み,頭の痛みですね？
parrot,あたま全体痺れ,頭の痛みですね？
parrot,あたま全体腫れ,頭の痛みですね？
parrot,あたま全体締め付け,頭の痛みですね？
parrot,あたま全体違和感,頭の痛みですね？
parrot,あたま右痛い,頭の痛みですね？
parrot,あたま右痛み,頭の痛みですね？
parrot,あたま右痛む,頭の痛みですね？
parrot,あたま右ズキズキする,頭の痛みですね？
parrot,あたま右ジンジンする,頭の痛みですね？
parrot,あたま右痺れる,頭の痛みですね？
parrot,あたま右痺れ,頭の痛みですね？
parrot,あたま右動かない,頭の痛みですね？
parrot,あたま右腫れて,頭の痛みですね？
parrot,あたま右締め付けられる,頭の痛みですね？
parrot,あたま右痛み,頭の痛みですね？
parrot,あたま右痺れ,頭の痛みですね？
parrot,あたま右腫れ,頭の痛みですね？
parrot,あたま右締め付け,頭の痛みですね？
parrot,あたま右違和感,頭の痛みですね？
parrot,あたま左痛い,頭の痛みですね？
parrot,あたま左痛み,頭の痛みですね？
parrot,あたま左痛む,頭の痛みですね？
parrot,あたま左ズキズキする,頭の痛みですね？
parrot,あたま左ジンジンする,頭の痛みですね？
parrot,あたま左痺れる,頭の痛みですね？
parrot,あたま左痺れ,頭の痛みですね？
parrot,あたま左動かない,頭の痛みですね？
parrot,あたま左腫れて,頭の痛みですね？
parrot,あたま左締め付けられる,頭の痛みですね？
parrot,あたま左痛み,頭の痛みですね？
parrot,あたま左痺れ,頭の痛みですね？
parrot,あたま左腫れ,頭の痛みですね？
parrot,あたま左締め付け,頭の痛みですね？
parrot,あたま左違和感,頭の痛みですね？
parrot,あたま上痛い,頭の痛みですね？
parrot,あたま上痛み,頭の痛みですね？
parrot,あたま上痛む,頭の痛みですね？
parrot,あたま上ズキズキする,頭の痛みですね？
parrot,あたま上ジンジンする,頭の痛みですね？
parrot,あたま上痺れる,頭の痛みですね？
parrot,あたま上痺れ,頭の痛みですね？
parrot,あたま上動かない,頭の痛みですね？
parrot,あたま上腫れて,頭の痛みですね？
parrot,あたま上締め付けられる,頭の痛みですね？
parrot,あたま上痛み,頭の痛みですね？
parrot,あたま上痺れ,頭の痛みですね？
parrot,あたま上腫れ,頭の痛みですね？
parrot,あたま上締め付け,頭の痛みですね？
parrot,あたま上違和感,頭の痛みですね？
parrot,あたま下痛い,頭の痛みですね？
parrot,あたま下痛み,頭の痛みですね？
parrot,あたま下痛む,頭の痛みですね？
parrot,あたま下ズキズキする,頭の痛みですね？
parrot,あたま下ジンジンする,頭の痛みですね？
parrot,あたま下痺れる,頭の痛みですね？
parrot,あたま下痺れ,頭の痛みですね？
parrot,あたま下動かない,頭の痛みですね？
parrot,あたま下腫れて,頭の痛みですね？
parrot,あたま下締め付けられる,頭の痛みですね？
parrot,あたま下痛み,頭の痛みですね？
parrot,あたま下痺れ,頭の痛みですね？
parrot,あたま下腫れ,頭の痛みですね？
parrot,あたま下締め付け,頭の痛みですね？
parrot,あたま下違和感,頭の痛みですね？
parrot,頭部全体痛い,頭の痛みですね？
parrot,頭部全体痛み,頭の痛みですね？
parrot,頭部全体痛む,頭の痛みですね？
parrot,頭部全体ズキズキする,頭の痛みですね？
parrot,頭部全体ジンジンする,頭の痛みですね？
parrot,頭部全体痺れる,頭の痛みですね？
parrot,頭部全体痺れ,頭の痛みですね？
parrot,頭部全体動かない,頭の痛みですね？
parrot,頭部全体腫れて,頭の痛みですね？
parrot,頭部全体締め付けられる,頭の痛みですね？
parrot,頭部全体痛み,頭の痛みですね？
parrot,頭部全体痺れ,頭の痛みですね？
parrot,頭部全体腫れ,頭の痛みですね？
parrot,頭部全体締め付け,頭の痛みですね？
parrot,頭部全体違和感,頭の痛みですね？
parrot,頭部右痛い,頭の痛みですね？
parrot,頭部右痛み,頭の痛みですね？
parrot,頭部右痛む,頭の痛みですね？
parrot,頭部右ズキズキする,頭の痛みですね？
parrot,頭部右ジンジンする,頭の痛みですね？
parrot,頭部右痺れる,頭の痛みですね？
parrot,頭部右痺れ,頭の痛みですね？
parrot,頭部右動かない,頭の痛みですね？
parrot,頭部右腫れて,頭の痛みですね？
parrot,頭部右締め付けられる,頭の痛みですね？
parrot,頭部右痛み,頭の痛みですね？
parrot,頭部右痺れ,頭の痛みですね？
parrot,頭部右腫れ,頭の痛みですね？
parrot,頭部右締め付け,頭の痛みですね？
parrot,頭部右違和感,頭の痛みですね？
parrot,頭部左痛い,頭の痛みですね？
parrot,頭部左痛み,頭の痛みですね？
parrot,頭部左痛む,頭の痛みですね？
parrot,頭部左ズキズキする,頭の痛みですね？
parrot,頭部左ジンジンする,頭の痛みですね？
parrot,頭部左痺れる,頭の痛みですね？
parrot,頭部左痺れ,頭の痛みですね？
parrot,頭部左動かない,頭の痛みですね？
parrot,頭部左腫れて,頭の痛みですね？
parrot,頭部左締め付けられる,頭の痛みですね？
parrot,頭部左痛み,頭の痛みですね？
parrot,頭部左痺れ,頭の痛みですね？
parrot,頭部左腫れ,頭の痛みですね？
parrot,頭部左締め付け,頭の痛みですね？
parrot,頭部左違和感,頭の痛みですね？
parrot,頭部上痛い,頭の痛みですね？
parrot,頭部上痛み,頭の痛みですね？
parrot,頭部上痛む,頭の痛みですね？
parrot,頭部上ズキズキする,頭の痛みですね？
parrot,頭部上ジンジンする,頭の痛みですね？
parrot,頭部上痺れる,頭の痛みですね？
parrot,頭部上痺れ,頭の痛みですね？
parrot,頭部上動かない,頭の痛みですね？
parrot,頭部上腫れて,頭の痛みですね？
parrot,頭部上締め付けられる,頭の痛みですね？
parrot,頭部上痛み,頭の痛みですね？
parrot,頭部上痺れ,頭の痛みですね？
parrot,頭部上腫れ,頭の痛みですね？
parrot,頭部上締め付け,頭の痛みですね？
parrot,頭部上違和感,頭の痛みですね？
parrot,頭部下痛い,頭の痛みですね？
parrot,頭部下痛み,頭の痛みですね？
parrot,頭部下痛む,頭の痛みですね？
parrot,頭部下ズキズキする,頭の痛みですね？
parrot,頭部下ジンジンする,頭の痛みですね？
parrot,頭部下痺れる,頭の痛みですね？
parrot,頭部下痺れ,頭の痛みですね？
parrot,頭部下動かない,頭の痛みですね？
parrot,頭部下腫れて,頭の痛みですね？
parrot,頭部下締め付けられる,頭の痛みですね？
parrot,頭部下痛み,頭の痛みですね？
parrot,頭部下痺れ,頭の痛みですね？
parrot,頭部下腫れ,頭の痛みですね？
parrot,頭部下締め付け,頭の痛みですね？
parrot,頭部下違和感,頭の痛みですね？
parrot,後頭部全体痛い,頭の痛みですね？
parrot,後頭部全体痛み,頭の痛みですね？
parrot,後頭部全体痛む,頭の痛みですね？
parrot,後頭部全体ズキズキする,頭の痛みですね？
parrot,後頭部全体ジンジンする,頭の痛みですね？
parrot,後頭部全体痺れる,頭の痛みですね？
parrot,後頭部全体痺れ,頭の痛みですね？
parrot,後頭部全体動かない,頭の痛みですね？
parrot,後頭部全体腫れて,頭の痛みですね？
parrot,後頭部全体締め付けられる,頭の痛みですね？
parrot,後頭部全体痛み,頭の痛みですね？
parrot,後頭部全体痺れ,頭の痛みですね？
parrot,後頭部全体腫れ,頭の痛みですね？
parrot,後頭部全体締め付け,頭の痛みですね？
parrot,後頭部全体違和感,頭の痛みですね？
parrot,後頭部右痛い,頭の痛みですね？
parrot,後頭部右痛み,頭の痛みですね？
parrot,後頭部右痛む,頭の痛みですね？
parrot,後頭部右ズキズキする,頭の痛みですね？
parrot,後頭部右ジンジンする,頭の痛みですね？
parrot,後頭部右痺れる,頭の痛みですね？
parrot,後頭部右痺れ,頭の痛みですね？
parrot,後頭部右動かない,頭の痛みですね？
parrot,後頭部右腫れて,頭の痛みですね？
parrot,後頭部右締め付けられる,頭の痛みですね？
parrot,後頭部右痛み,頭の痛みですね？
parrot,後頭部右痺れ,頭の痛みですね？
parrot,後頭部右腫れ,頭の痛みですね？
parrot,後頭部右締め付け,頭の痛みですね？
parrot,後頭部右違和感,頭の痛みですね？
parrot,後頭部左痛い,頭の痛みですね？
parrot,後頭部左痛み,頭の痛みですね？
parrot,後頭部左痛む,頭の痛みですね？
parrot,後頭部左ズキズキする,頭の痛みですね？
parrot,後頭部左ジンジンする,頭の痛みですね？
parrot,後頭部左痺れる,頭の痛みですね？
parrot,後頭部左痺れ,頭の痛みですね？
parrot,後頭部左動かない,頭の痛みですね？
parrot,後頭部左腫れて,頭の痛みですね？
parrot,後頭部左締め付けられる,頭の痛みですね？
parrot,後頭部左痛み,頭の痛みですね？
parrot,後頭部左痺れ,頭の痛みですね？
parrot,後頭部左腫れ,頭の痛みですね？
parrot,後頭部左締め付け,頭の痛みですね？
parrot,後頭部左違和感,頭の痛みですね？
parrot,後頭部上痛い,頭の痛みですね？
parrot,後頭部上痛み,頭の痛みですね？
parrot,後頭部上痛む,頭の痛みですね？
parrot,後頭部上ズキズキする,頭の痛みですね？
parrot,後頭部上ジンジンする,頭の痛みですね？
parrot,後頭部上痺れる,頭の痛みですね？
parrot,後頭部上痺れ,頭の痛みですね？
parrot,後頭部上動かない,頭の痛みですね？
parrot,後頭部上腫れて,頭の痛みですね？
parrot,後頭部上締め付けられる,頭の痛みですね？
parrot,後頭部上痛み,頭の痛みですね？
parrot,後頭部上痺れ,頭の痛みですね？
parrot,後頭部上腫れ,頭の痛みですね？
parrot,後頭部上締め付け,頭の痛みですね？
parrot,後頭部上違和感,頭の痛みですね？
parrot,後頭部下痛い,頭の痛みですね？
parrot,後頭部下痛み,頭の痛みですね？
parrot,後頭部下痛む,頭の痛みですね？
parrot,後頭部下ズキズキする,頭の痛みですね？
parrot,後頭部下ジンジンする,頭の痛みですね？
parrot,後頭部下痺れる,頭の痛みですね？
parrot,後頭部下痺れ,頭の痛みですね？
parrot,後頭部下動かない,頭の痛みですね？
parrot,後頭部下腫れて,頭の痛みですね？
parrot,後頭部下締め付けられる,頭の痛みですね？
parrot,後頭部下痛み,頭の痛みですね？
parrot,後頭部下痺れ,頭の痛みですね？
parrot,後頭部下腫れ,頭の痛みですね？
parrot,後頭部下締め付け,頭の痛みですね？
parrot,後頭部下違和感,頭の痛みですね？
parrot,頭頂部全体痛い,頭の痛みですね？
parrot,頭頂部全体痛み,頭の痛みですね？
parrot,頭頂部全体痛む,頭の痛みですね？
parrot,頭頂部全体ズキズキする,頭の痛みですね？
parrot,頭頂部全体ジンジンする,頭の痛みですね？
parrot,頭頂部全体痺れる,頭の痛みですね？
parrot,頭頂部全体痺れ,頭の痛みですね？
parrot,頭頂部全体動かない,頭の痛みですね？
parrot,頭頂部全体腫れて,頭の痛みですね？
parrot,頭頂部全体締め付けられる,頭の痛みですね？
parrot,頭頂部全体痛み,頭の痛みですね？
parrot,頭頂部全体痺れ,頭の痛みですね？
parrot,頭頂部全体腫れ,頭の痛みですね？
parrot,頭頂部全体締め付け,頭の痛みですね？
parrot,頭頂部全体違和感,頭の痛みですね？
parrot,頭頂部右痛い,頭の痛みですね？
parrot,頭頂部右痛み,頭の痛みですね？
parrot,頭頂部右痛む,頭の痛みですね？
parrot,頭頂部右ズキズキする,頭の痛みですね？
parrot,頭頂部右ジンジンする,頭の痛みですね？
parrot,頭頂部右痺れる,頭の痛みですね？
parrot,頭頂部右痺れ,頭の痛みですね？
parrot,頭頂部右動かない,頭の痛みですね？
parrot,頭頂部右腫れて,頭の痛みですね？
parrot,頭頂部右締め付けられる,頭の痛みですね？
parrot,頭頂部右痛み,頭の痛みですね？
parrot,頭頂部右痺れ,頭の痛みですね？
parrot,頭頂部右腫れ,頭の痛みですね？
parrot,頭頂部右締め付け,頭の痛みですね？
parrot,頭頂部右違和感,頭の痛みですね？
parrot,頭頂部左痛い,頭の痛みですね？
parrot,頭頂部左痛み,頭の痛みですね？
parrot,頭頂部左痛む,頭の痛みですね？
parrot,頭頂部左ズキズキする,頭の痛みですね？
parrot,頭頂部左ジンジンする,頭の痛みですね？
parrot,頭頂部左痺れる,頭の痛みですね？
parrot,頭頂部左痺れ,頭の痛みですね？
parrot,頭頂部左動かない,頭の痛みですね？
parrot,頭頂部左腫れて,頭の痛みですね？
parrot,頭頂部左締め付けられる,頭の痛みですね？
parrot,頭頂部左痛み,頭の痛みですね？
parrot,頭頂部左痺れ,頭の痛みですね？
parrot,頭頂部左腫れ,頭の痛みですね？
parrot,頭頂部左締め付け,頭の痛みですね？
parrot,頭頂部左違和感,頭の痛みですね？
parrot,頭頂部上痛い,頭の痛みですね？
parrot,頭頂部上痛み,頭の痛みですね？
parrot,頭頂部上痛む,頭の痛みですね？
parrot,頭頂部上ズキズキする,頭の痛みですね？
parrot,頭頂部上ジンジンする,頭の痛みですね？
parrot,頭頂部上痺れる,頭の痛みですね？
parrot,頭頂部上痺れ,頭の痛みですね？
parrot,頭頂部上動かない,頭の痛みですね？
parrot,頭頂部上腫れて,頭の痛みですね？
parrot,頭頂部上締め付けられる,頭の痛みですね？
parrot,頭頂部上痛み,頭の痛みですね？
parrot,頭頂部上痺れ,頭の痛みですね？
parrot,頭頂部上腫れ,頭の痛みですね？
parrot,頭頂部上締め付け,頭の痛みですね？
parrot,頭頂部上違和感,頭の痛みですね？
parrot,頭頂部下痛い,頭の痛みですね？
parrot,頭頂部下痛み,頭の痛みですね？
parrot,頭頂部下痛む,頭の痛みですね？
parrot,頭頂部下ズキズキする,頭の痛みですね？
parrot,頭頂部下ジンジンする,頭の痛みですね？
parrot,頭頂部下痺れる,頭の痛みですね？
parrot,頭頂部下痺れ,頭の痛みですね？
parrot,頭頂部下動かない,頭の痛みですね？
parrot,頭頂部下腫れて,頭の痛みですね？
parrot,頭頂部下締め付けられる,頭の痛みですね？
parrot,頭頂部下痛み,頭の痛みですね？
parrot,頭頂部下痺れ,頭の痛みですね？
parrot,頭頂部下腫れ,頭の痛みですね？
parrot,頭頂部下締め付け,頭の痛みですね？
parrot,頭頂部下違和感,頭の痛みですね？
parrot,前頭部全体痛い,頭の痛みですね？
parrot,前頭部全体痛み,頭の痛みですね？
parrot,前頭部全体痛む,頭の痛みですね？
parrot,前頭部全体ズキズキする,頭の痛みですね？
parrot,前頭部全体ジンジンする,頭の痛みですね？
parrot,前頭部全体痺れる,頭の痛みですね？
parrot,前頭部全体痺れ,頭の痛みですね？
parrot,前頭部全体動かない,頭の痛みですね？
parrot,前頭部全体腫れて,頭の痛みですね？
parrot,前頭部全体締め付けられる,頭の痛みですね？
parrot,前頭部全体痛み,頭の痛みですね？
parrot,前頭部全体痺れ,頭の痛みですね？
parrot,前頭部全体腫れ,頭の痛みですね？
parrot,前頭部全体締め付け,頭の痛みですね？
parrot,前頭部全体違和感,頭の痛みですね？
parrot,前頭部右痛い,頭の痛みですね？
parrot,前頭部右痛み,頭の痛みですね？
parrot,前頭部右痛む,頭の痛みですね？
parrot,前頭部右ズキズキする,頭の痛みですね？
parrot,前頭部右ジンジンする,頭の痛みですね？
parrot,前頭部右痺れる,頭の痛みですね？
parrot,前頭部右痺れ,頭の痛みですね？
parrot,前頭部右動かない,頭の痛みですね？
parrot,前頭部右腫れて,頭の痛みですね？
parrot,前頭部右締め付けられる,頭の痛みですね？
parrot,前頭部右痛み,頭の痛みですね？
parrot,前頭部右痺れ,頭の痛みですね？
parrot,前頭部右腫れ,頭の痛みですね？
parrot,前頭部右締め付け,頭の痛みですね？
parrot,前頭部右違和感,頭の痛みですね？
parrot,前頭部左痛い,頭の痛みですね？
parrot,前頭部左痛み,頭の痛みですね？
parrot,前頭部左痛む,頭の痛みですね？
parrot,前頭部左ズキズキする,頭の痛みですね？
parrot,前頭部左ジンジンする,頭の痛みですね？
parrot,前頭部左痺れる,頭の痛みですね？
parrot,前頭部左痺れ,頭の痛みですね？
parrot,前頭部左動かない,頭の痛みですね？
parrot,前頭部左腫れて,頭の痛みですね？
parrot,前頭部左締め付けられる,頭の痛みですね？
parrot,前頭部左痛み,頭の痛みですね？
parrot,前頭部左痺れ,頭の痛みですね？
parrot,前頭部左腫れ,頭の痛みですね？
parrot,前頭部左締め付け,頭の痛みですね？
parrot,前頭部左違和感,頭の痛みですね？
parrot,前頭部上痛い,頭の痛みですね？
parrot,前頭部上痛み,頭の痛みですね？
parrot,前頭部上痛む,頭の痛みですね？
parrot,前頭部上ズキズキする,頭の痛みですね？
parrot,前頭部上ジンジンする,頭の痛みですね？
parrot,前頭部上痺れる,頭の痛みですね？
parrot,前頭部上痺れ,頭の痛みですね？
parrot,前頭部上動かない,頭の痛みですね？
parrot,前頭部上腫れて,頭の痛みですね？
parrot,前頭部上締め付けられる,頭の痛みですね？
parrot,前頭部上痛み,頭の痛みですね？
parrot,前頭部上痺れ,頭の痛みですね？
parrot,前頭部上腫れ,頭の痛みですね？
parrot,前頭部上締め付け,頭の痛みですね？
parrot,前頭部上違和感,頭の痛みですね？
parrot,前頭部下痛い,頭の痛みですね？
parrot,前頭部下痛み,頭の痛みですね？
parrot,前頭部下痛む,頭の痛みですね？
parrot,前頭部下ズキズキする,頭の痛みですね？
parrot,前頭部下ジンジンする,頭の痛みですね？
parrot,前頭部下痺れる,頭の痛みですね？
parrot,前頭部下痺れ,頭の痛みですね？
parrot,前頭部下動かない,頭の痛みですね？
parrot,前頭部下腫れて,頭の痛みですね？
parrot,前頭部下締め付けられる,頭の痛みですね？
parrot,前頭部下痛み,頭の痛みですね？
parrot,前頭部下痺れ,頭の痛みですね？
parrot,前頭部下腫れ,頭の痛みですね？
parrot,前頭部下締め付け,頭の痛みですね？
parrot,前頭部下違和感,頭の痛みですね？
parrot,側頭部全体痛い,頭の痛みですね？
parrot,側頭部全体痛み,頭の痛みですね？
parrot,側頭部全体痛む,頭の痛みですね？
parrot,側頭部全体ズキズキする,頭の痛みですね？
parrot,側頭部全体ジンジンする,頭の痛みですね？
parrot,側頭部全体痺れる,頭の痛みですね？
parrot,側頭部全体痺れ,頭の痛みですね？
parrot,側頭部全体動かない,頭の痛みですね？
parrot,側頭部全体腫れて,頭の痛みですね？
parrot,側頭部全体締め付けられる,頭の痛みですね？
parrot,側頭部全体痛み,頭の痛みですね？
parrot,側頭部全体痺れ,頭の痛みですね？
parrot,側頭部全体腫れ,頭の痛みですね？
parrot,側頭部全体締め付け,頭の痛みですね？
parrot,側頭部全体違和感,頭の痛みですね？
parrot,側頭部右痛い,頭の痛みですね？
parrot,側頭部右痛み,頭の痛みですね？
parrot,側頭部右痛む,頭の痛みですね？
parrot,側頭部右ズキズキする,頭の痛みですね？
parrot,側頭部右ジンジンする,頭の痛みですね？
parrot,側頭部右痺れる,頭の痛みですね？
parrot,側頭部右痺れ,頭の痛みですね？
parrot,側頭部右動かない,頭の痛みですね？
parrot,側頭部右腫れて,頭の痛みですね？
parrot,側頭部右締め付けられる,頭の痛みですね？
parrot,側頭部右痛み,頭の痛みですね？
parrot,側頭部右痺れ,頭の痛みですね？
parrot,側頭部右腫れ,頭の痛みですね？
parrot,側頭部右締め付け,頭の痛みですね？
parrot,側頭部右違和感,頭の痛みですね？
parrot,側頭部左痛い,頭の痛みですね？
parrot,側頭部左痛み,頭の痛みですね？
parrot,側頭部左痛む,頭の痛みですね？
parrot,側頭部左ズキズキする,頭の痛みですね？
parrot,側頭部左ジンジンする,頭の痛みですね？
parrot,側頭部左痺れる,頭の痛みですね？
parrot,側頭部左痺れ,頭の痛みですね？
parrot,側頭部左動かない,頭の痛みですね？
parrot,側頭部左腫れて,頭の痛みですね？
parrot,側頭部左締め付けられる,頭の痛みですね？
parrot,側頭部左痛み,頭の痛みですね？
parrot,側頭部左痺れ,頭の痛みですね？
parrot,側頭部左腫れ,頭の痛みですね？
parrot,側頭部左締め付け,頭の痛みですね？
parrot,側頭部左違和感,頭の痛みですね？
parrot,側頭部上痛い,頭の痛みですね？
parrot,側頭部上痛み,頭の痛みですね？
parrot,側頭部上痛む,頭の痛みですね？
parrot,側頭部上ズキズキする,頭の痛みですね？
parrot,側頭部上ジンジンする,頭の痛みですね？
parrot,側頭部上痺れる,頭の痛みですね？
parrot,側頭部上痺れ,頭の痛みですね？
parrot,側頭部上動かない,頭の痛みですね？
parrot,側頭部上腫れて,頭の痛みですね？
parrot,側頭部上締め付けられる,頭の痛みですね？
parrot,側頭部上痛み,頭の痛みですね？
parrot,側頭部上痺れ,頭の痛みですね？
parrot,側頭部上腫れ,頭の痛みですね？
parrot,側頭部上締め付け,頭の痛みですね？
parrot,側頭部上違和感,頭の痛みですね？
parrot,側頭部下痛い,頭の痛みですね？
parrot,側頭部下痛み,頭の痛みですね？
parrot,側頭部下痛む,頭の痛みですね？
parrot,側頭部下ズキズキする,頭の痛みですね？
parrot,側頭部下ジンジンする,頭の痛みですね？
parrot,側頭部下痺れる,頭の痛みですね？
parrot,側頭部下痺れ,頭の痛みですね？
parrot,側頭部下動かない,頭の痛みですね？
parrot,側頭部下腫れて,頭の痛みですね？
parrot,側頭部下締め付けられる,頭の痛みですね？
parrot,側頭部下痛み,頭の痛みですね？
parrot,側頭部下痺れ,頭の痛みですね？
parrot,側頭部下腫れ,頭の痛みですね？
parrot,側頭部下締め付け,頭の痛みですね？
parrot,側頭部下違和感,頭の痛みですね？
parrot,こめかみ全体痛い,頭の痛みですね？
parrot,こめかみ全体痛み,頭の痛みですね？
parrot,こめかみ全体痛む,頭の痛みですね？
parrot,こめかみ全体ズキズキする,頭の痛みですね？
parrot,こめかみ全体ジンジンする,頭の痛みですね？
parrot,こめかみ全体痺れる,頭の痛みですね？
parrot,こめかみ全体痺れ,頭の痛みですね？
parrot,こめかみ全体動かない,頭の痛みですね？
parrot,こめかみ全体腫れて,頭の痛みですね？
parrot,こめかみ全体締め付けられる,頭の痛みですね？
parrot,こめかみ全体痛み,頭の痛みですね？
parrot,こめかみ全体痺れ,頭の痛みですね？
parrot,こめかみ全体腫れ,頭の痛みですね？
parrot,こめかみ全体締め付け,頭の痛みですね？
parrot,こめかみ全体違和感,頭の痛みですね？
parrot,こめかみ右痛い,頭の痛みですね？
parrot,こめかみ右痛み,頭の痛みですね？
parrot,こめかみ右痛む,頭の痛みですね？
parrot,こめかみ右ズキズキする,頭の痛みですね？
parrot,こめかみ右ジンジンする,頭の痛みですね？
parrot,こめかみ右痺れる,頭の痛みですね？
parrot,こめかみ右痺れ,頭の痛みですね？
parrot,こめかみ右動かない,頭の痛みですね？
parrot,こめかみ右腫れて,頭の痛みですね？
parrot,こめかみ右締め付けられる,頭の痛みですね？
parrot,こめかみ右痛み,頭の痛みですね？
parrot,こめかみ右痺れ,頭の痛みですね？
parrot,こめかみ右腫れ,頭の痛みですね？
parrot,こめかみ右締め付け,頭の痛みですね？
parrot,こめかみ右違和感,頭の痛みですね？
parrot,こめかみ左痛い,頭の痛みですね？
parrot,こめかみ左痛み,頭の痛みですね？
parrot,こめかみ左痛む,頭の痛みですね？
parrot,こめかみ左ズキズキする,頭の痛みですね？
parrot,こめかみ左ジンジンする,頭の痛みですね？
parrot,こめかみ左痺れる,頭の痛みですね？
parrot,こめかみ左痺れ,頭の痛みですね？
parrot,こめかみ左動かない,頭の痛みですね？
parrot,こめかみ左腫れて,頭の痛みですね？
parrot,こめかみ左締め付けられる,頭の痛みですね？
parrot,こめかみ左痛み,頭の痛みですね？
